candidate,window_type,filter_mode,weight_metric,distribution_unit,group_scope,source,issue_type,observed,expected,std_residual
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_photo_event,1.0,16.68006027122049,-3.8392723389935406
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_real_estate_tax,32.0,45.15821195379206,-1.9580713318810838
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_transport_infrastructure,24.0,24.572576594676043,-0.11550698358056259
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_welfare_livelihood,10.0,6.509291813159217,1.3681908251946695
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,race_polling,33.0,36.45203415369161,-0.5717605668066874
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,regional_visit,3.0,11.472626820693119,-2.5014201538366456
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,safety_accident,12.0,12.937217478653944,-0.2605673162791577
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,symbolic_event,3.0,5.939728779507785,-1.206212866645018
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_notice,30.0,19.445002511300853,2.393614089246641
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_performance,339.0,310.9015570065294,1.5935687576414275
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,campaign_strategy,101.0,85.64540431943747,1.6591526806127008
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_positioning,44.0,41.730286288297336,0.35135440214634694
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_selection,141.0,141.57709693621297,-0.04850117580629491
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,community_reaction,3.0,28.184329482672023,-4.7438018367119845
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,controversy_attack_defense,115.0,148.78704168759418,-2.769922469253748
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,debate_broadcast,42.0,61.17528879959819,-2.451624199054842
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,legal_election_rule,32.0,33.427925665494726,-0.24697380104546993
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_column_summary,2.0,5.243596182822702,-1.4164855918310102
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_photo_event,50.0,44.789050728277246,0.7786296120906824
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_real_estate_tax,113.0,121.25816172777499,-0.7499423749995257
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_transport_infrastructure,73.0,65.98191863385233,0.8639844559112092
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_welfare_livelihood,16.0,17.47865394274234,-0.3536816709295747
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,race_polling,106.0,97.8804620793571,0.8206978750925398
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,regional_visit,48.0,30.806127574083376,3.0978126241980752
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,safety_accident,30.0,34.7388247112004,-0.8040130240365766
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_article,symbolic_event,20.0,15.949271722752385,1.0142912598235443
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_notice,4.0,12.60572576594676,-2.4238379172652027
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_performance,201.0,201.54997488699146,-0.03873927466645096
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,campaign_strategy,48.0,55.52184831742843,-1.0094681331624393
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_positioning,24.0,27.05273731793069,-0.5869266478428679
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_selection,79.0,91.78101456554495,-1.33410159286037
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,community_reaction,30.0,18.27122049221497,2.743904820490708
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,controversy_attack_defense,91.0,96.45504771471623,-0.5554386204227505
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,debate_broadcast,30.0,39.65846308387745,-1.5336988233802409
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,legal_election_rule,14.0,21.67051732797589,-1.6477450505907596
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_column_summary,2.0,3.399296835760924,-0.7589537428272345
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_photo_event,3.0,29.03566047212456,-4.83173096790678
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_real_estate_tax,156.0,78.60873932697137,8.728839448596863
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_transport_infrastructure,43.0,42.77448518332496,0.03448122491480308
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_welfare_livelihood,3.0,11.330989452536414,-2.474928558045672
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,race_polling,84.0,63.453540934203915,2.5793427494829575
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,regional_visit,10.0,19.97086891009543,-2.23117957721916
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,safety_accident,20.0,22.520341536916124,-0.5310946305365059
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,symbolic_event,4.0,10.339527875439478,-1.9715443981540959
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_notice,7.0,14.661978905072827,-2.0009887953496968
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_performance,246.0,234.4269211451532,0.7558666262497219
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,campaign_strategy,56.0,64.57860371672527,-1.0675108086016565
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_positioning,29.0,31.46559517830236,-0.43954545793157246
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_selection,109.0,106.75238573581115,0.21753692479473677
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,community_reaction,3.0,21.251632345555,-3.9591828987649254
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,youtube,controversy_attack_defense,164.0,112.18884982420894,4.891571271192376
