issue_type,weight_sum,share,total_weight,ci_low,ci_high,n_issue_rows,n_boot,candidate,source,window_type,weight_metric,filter_mode,grouping,source_scope
candidate_selection,2054.134548166906,0.11381936507768811,18047.32039020639,0.09097665792151331,0.13672349507178316,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,2642.517646691626,0.14642160661843306,18047.32039020639,0.12393256401409046,0.17065641445960186,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,377.0,0.020889527744217578,18047.32039020639,0.011128237404396843,0.0315464800474779,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
legal_election_rule,539.0054566736396,0.029866231940235174,18047.32039020639,0.018524231075317858,0.042904450111713135,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
media_column_summary,92.17805383034795,0.005107575631026618,18047.32039020639,0.0012945462204545326,0.010674509298488575,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
media_photo_event,1421.7194519983766,0.07877731548279548,18047.32039020639,0.06308111703543774,0.09406073361564911,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
policy_real_estate_tax,3113.779604728123,0.17253417889216704,18047.32039020639,0.1404142822597871,0.20142283422138452,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
policy_transport_infrastructure,1588.114982309587,0.08799727316701254,18047.32039020639,0.06484629832811468,0.11747795212590367,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
policy_welfare_livelihood,216.07944154167984,0.011972937636710772,18047.32039020639,0.005733456332493412,0.02034905294560906,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
race_polling,752.783502069519,0.04171164947445753,18047.32039020639,0.028733730248887812,0.053547333834794444,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
regional_visit,480.16979643063894,0.026606154600724505,18047.32039020639,0.017253871426779793,0.037293434740216486,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
safety_accident,712.4291589533797,0.03947561984548069,18047.32039020639,0.02485784985145417,0.056339600647953,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
symbolic_event,95.09861228866811,0.005269403447853377,18047.32039020639,0.0020874198878702756,0.009162068502361032,1435,300,JWO,bigkinds_article,rolling_7d,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_notice,68.3862943611199,0.014530072035690168,4706.53512199684,0.0020544309523459693,0.030291326303724126,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_performance,696.695761409902,0.14802731592371826,4706.53512199684,0.09811727477554105,0.1998338500062446,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,908.1327888881655,0.1929514526820045,4706.53512199684,0.10139811919592948,0.30541493678122245,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,194.3718955967218,0.041298299185804375,4706.53512199684,0.01722922518010498,0.06489897095181606,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_selection,581.8046295717708,0.12361633653865707,4706.53512199684,0.0751098750048148,0.17492917681594966,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
community_reaction,26.0,0.005524233714624654,4706.53512199684,0.0,0.01687773125101324,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,563.7232312748275,0.11977457230482898,4706.53512199684,0.0712923277172007,0.16994890387192244,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,72.0,0.015297877978960579,4706.53512199684,0.0031599046277429673,0.032932947795647136,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
legal_election_rule,153.92601513195982,0.032704741628838345,4706.53512199684,0.011964448191613327,0.06300243648974149,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
media_photo_event,152.29490329064788,0.03235817843552685,4706.53512199684,0.0095833963092638,0.05905298489359087,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
policy_real_estate_tax,523.4657359027997,0.11122104102788657,4706.53512199684,0.05812755976529784,0.17306577362048714,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
policy_transport_infrastructure,207.2638856210239,0.04403746710660647,4706.53512199684,0.014256125681121404,0.08344194342226302,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
policy_welfare_livelihood,11.0,0.0023371758023411995,4706.53512199684,0.0,0.006481518677788927,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
